NUSP,P1,P2,Sub,M1
13837495,5.0,5.8,,5.5
13837769,3.3,2.5,2.5,2.8
13837800,6.7,3.3,2.5,4.2
13837835,2.5,0.0,7.5,5.5
13837939,4.2,3.3,0.8,2.3
13838089,5.0,2.5,4.2,4.5
13838162,5.0,5.8,,5.5
13838502,5.0,10.0,,8.0
13838930,8.3,4.2,5.8,6.8
13861012,2.5,1.7,7.5,5.5
13862250,5.0,4.2,10.0,8.0
13862292,7.5,5.8,,6.5
13862796,3.3,1.7,3.3,3.3
13864102,0.8,0.8,4.2,2.8
13864287,2.5,1.7,0.8,1.5
13864440,3.3,5.8,,5.0
13864714,4.2,1.7,3.3,3.7
13864905,,4.2,4.2,4.2
13865080,4.2,2.5,5.0,4.7
13874413,6.7,5.0,,5.7
13874754,4.2,6.7,,5.7
13874761,5.0,3.3,,4.0
13903411,5.8,4.2,,5.0
14541820,2.5,1.7,5.0,4.0
