NUSP,P1,P2,Sub,M1
12553924,6.7,5.0,,5.7
12554011,9.2,4.2,,6.2
12554081,5.8,2.5,8.3,7.3
12554095,5.0,5.0,,5.0
12554101,5.8,4.2,,5.0
12554182,0.8,2.5,2.5,2.5
12554272,,,,0.0
12554380,5.8,1.7,,3.3
12554400,7.5,1.7,4.2,5.5
12554498,5.0,1.7,4.2,4.5
12554539,7.5,6.7,,7.0
12554550,3.3,3.3,9.2,6.8
12554585,4.2,6.7,,5.7
12554709,3.3,1.7,1.7,2.3
12554713,5.8,6.7,,6.3
12554859,1.7,9.2,,6.2
12554891,5.8,2.5,8.3,7.3
12554992,2.5,5.0,9.2,6.7
12555029,4.2,0.8,7.5,6.2
12555120,0.8,1.7,,1.3
12555137,5.0,5.8,,5.5
12555141,4.2,7.5,,6.2
12555266,5.0,0.0,10.0,8.0
12555311,6.7,4.2,,5.2
12555572,,5.0,7.5,6.0
12555669,3.3,3.3,,3.3
12555673,2.5,1.7,6.7,5.0
12555700,3.3,3.3,10.0,7.3
12555760,5.8,,10.0,8.3
12555777,4.2,0.8,1.7,2.7
12555839,3.3,3.3,,3.3
12555843,2.5,,,1.0
12555930,4.2,1.7,2.5,3.2
12556013,10.0,2.5,,5.5
12556055,3.3,0.0,0.8,1.8
12556097,2.5,9.2,,6.5
12556271,,,,0.0
12556288,0.0,1.7,,1.0
12556329,0.0,4.2,1.7,3.2
12556333,1.7,3.3,3.3,3.3
12560703,3.3,2.5,3.3,3.3
12560807,5.8,3.3,5.8,5.8
12561638,7.5,3.3,,5.0
12562556,6.7,4.2,,5.2
12566380,5.8,3.3,,4.3
12566564,1.7,,,0.7
12566630,5.0,,1.7,3.0
12566668,4.2,4.2,10.0,7.7
12566693,8.3,1.7,6.7,7.3
12566720,4.2,2.5,7.5,6.2
12566776,4.2,3.3,3.3,3.7
12566780,5.8,1.7,6.7,6.3
12566797,1.7,2.5,3.3,2.8
12566842,0.8,3.3,,2.3
12566863,3.3,2.5,1.7,2.3
12566870,2.5,8.3,,6.0
12566911,0.8,1.7,4.2,2.8
12566932,2.5,4.2,1.7,3.2
12566946,,,,0.0
12567008,2.5,1.7,0.8,1.5
12604997,5.0,5.0,,5.0
12609331,4.2,0.8,7.5,6.2
12610073,2.5,9.2,,6.5
12610177,4.2,1.7,4.2,4.2
12610201,8.3,5.8,,6.8
12610292,4.2,1.7,,2.7
12610312,3.3,2.5,3.3,3.3
12610330,,4.2,3.3,3.8
12624478,7.5,2.5,5.0,6.0
12624586,4.2,2.5,1.7,2.7
12624680,8.3,10.0,,9.3
12625479,4.2,0.8,2.5,3.2
12674492,7.5,2.5,2.5,4.5
12674929,7.5,7.5,,7.5
12675490,5.8,5.0,,5.3
12675621,2.5,2.5,4.2,3.5
12675642,4.2,2.5,,3.2
12675913,5.0,6.7,,6.0
12683120,6.7,6.7,,6.7
